iter	Passed	Remaining
1606	910	789
1607	911	789
1608	912	788
1609	912	787
1610	913	787
1611	913	786
1612	914	786
1613	914	785
1614	915	784
1615	915	784
1616	916	783
1617	917	783
1618	917	782
1619	918	782
1620	918	781
1621	918	780
1622	919	780
1623	919	779
1624	920	778
1625	920	778
1626	921	777
1627	921	776
1628	922	776
1629	923	776
1630	923	775
1631	924	774
1632	924	774
1633	925	773
1634	925	772
1635	926	772
1636	926	771
1637	926	770
1638	927	770
1639	928	770
1640	929	769
1641	929	769
1642	930	768
1643	930	767
1644	931	767
1645	931	766
1646	932	765
1647	932	765
1648	933	764
1649	933	764
1650	934	763
1651	935	763
1652	936	762
1653	936	762
1654	936	761
1655	937	760
1656	937	760
1657	938	759
1658	938	758
1659	939	758
1660	940	757
1661	940	757
1662	941	756
1663	941	756
1664	942	755
1665	942	754
1666	943	754
1667	943	753
1668	944	753
1669	944	752
1670	945	751
1671	945	751
1672	946	750
1673	947	750
1674	947	749
1675	948	749
1676	948	748
1677	949	747
1678	949	747
1679	950	746
1680	950	745
1681	951	745
1682	952	745
1683	953	744
1684	953	744
1685	954	743
1686	954	742
1687	955	742
1688	955	741
1689	956	741
1690	956	740
1691	957	739
1692	958	739
1693	958	739
1694	959	738
1695	959	738
1696	960	737
1697	960	736
1698	961	736
1699	961	735
1700	962	734
1701	962	734
1702	963	733
1703	964	733
1704	965	733
1705	965	732
1706	966	732
1707	967	731
1708	967	730
1709	967	730
1710	968	729
1711	968	728
1712	969	728
1713	970	727
1714	970	727
1715	971	727
1716	972	726
1717	972	725
1718	973	725
1719	973	724
1720	974	723
1721	974	723
1722	975	722
1723	975	722
1724	976	721
1725	977	721
1726	978	720
1727	978	720
1728	979	719
1729	979	719
1730	980	718
1731	980	717
1732	980	717
1733	981	716
1734	981	715
1735	982	715
1736	983	715
1737	984	714
1738	984	713
1739	985	713
1740	985	712
1741	986	712
1742	986	711
1743	987	710
1744	987	710
1745	988	709
1746	990	710
1747	991	710
1748	991	709
1749	992	708
1750	992	708
1751	993	707
1752	994	707
1753	994	706
1754	995	706
1755	996	705
1756	996	705
1757	997	704
1758	997	703
1759	997	703
1760	998	702
1761	998	701
1762	999	701
1763	999	700
1764	1001	700
1765	1001	699
1766	1002	699
1767	1002	698
1768	1003	698
1769	1003	697
1770	1004	696
1771	1004	696
1772	1005	695
1773	1005	694
1774	1006	694
1775	1007	694
1776	1007	693
1777	1008	692
1778	1008	692
1779	1009	691
1780	1009	691
1781	1010	690
1782	1010	689
1783	1010	689
1784	1011	688
1785	1011	687
1786	1012	687
1787	1013	686
1788	1013	686
1789	1014	685
1790	1015	685
1791	1015	684
1792	1015	683
1793	1016	683
1794	1017	682
1795	1017	682
1796	1018	681
1797	1019	681
1798	1019	680
1799	1020	680
1800	1020	679
1801	1021	678
1802	1021	678
1803	1021	677
1804	1022	676
1805	1022	676
1806	1023	675
1807	1023	674
1808	1024	674
1809	1024	673
1810	1025	673
1811	1026	672
1812	1026	672
1813	1027	671
1814	1027	670
1815	1028	670
1816	1028	669
1817	1029	669
1818	1029	668
1819	1045	677
1820	1045	677
1821	1046	676
1822	1046	675
1823	1047	675
1824	1047	674
1825	1048	673
1826	1048	673
1827	1049	672
1828	1049	671
1829	1050	671
1830	1050	671
1831	1051	670
1832	1052	669
1833	1052	669
1834	1053	668
1835	1053	667
1836	1053	667
1837	1054	666
1838	1054	665
1839	1055	665
1840	1055	664
1841	1056	664
1842	1057	663
1843	1057	663
1844	1058	662
1845	1058	661
1846	1059	661
1847	1059	660
1848	1060	659
1849	1060	659
1850	1060	658
1851	1061	657
1852	1061	657
1853	1062	656
1854	1063	656
1855	1063	655
1856	1064	654
1857	1064	654
1858	1065	653
1859	1065	653
1860	1065	652
1861	1066	651
1862	1066	651
1863	1067	650
1864	1067	649
1865	1068	649
1866	1069	648
1867	1069	648
1868	1070	647
1869	1070	647
1870	1071	646
1871	1071	645
1872	1072	645
1873	1072	644
1874	1073	643
1875	1073	643
1876	1074	642
1877	1074	642
1878	1075	641
1879	1076	641
1880	1076	640
1881	1076	639
1882	1077	639
1883	1077	638
1884	1078	637
1885	1078	637
1886	1079	636
1887	1079	635
1888	1080	635
1889	1081	634
1890	1081	634
1891	1082	633
1892	1082	633
1893	1083	632
1894	1083	631
1895	1084	631
1896	1084	630
1897	1085	630
1898	1085	629
1899	1086	628
1900	1086	628
1901	1087	627
1902	1088	627
1903	1088	626
1904	1088	625
1905	1089	625
1906	1089	624
1907	1090	623
1908	1090	623
1909	1097	626
1910	1098	626
1911	1099	625
1912	1100	625
1913	1101	624
1914	1101	624
1915	1102	623
1916	1102	622
1917	1103	622
1918	1103	621
1919	1104	621
1920	1104	620
1921	1105	620
1922	1106	619
1923	1107	619
1924	1107	618
1925	1108	617
1926	1108	617
1927	1109	616
1928	1109	616
1929	1110	615
1930	1110	614
1931	1111	614
1932	1112	614
1933	1112	613
1934	1113	612
1935	1113	612
